RecordID,Code,Category,Description,Size,Total Inventory,Price,Sale Price,Sale End Date
0,24953,AMERICAN RED,GROTH CABERNET 750ML,750ML,0,82.99,,
1,171911,STRAIGHT BOURBON WHISKEY,STONESTREET FOUNDERS EDITION BOURBON 750ML,750ML,0,66.99,,
2,246354,AMERICAN WHITE,DECOY FEATHERWEIGHT CHARDONNAY 750ML,750ML,0,19.99,,
3,72281,STRAIGHT RYE WHISKEY,ROSSVILLE UNION STRAIGHT RYE WHISKEY BARREL PROOF - 750ML,750ML,0,49.99,,
4,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,
5,171381,TEQUILA,SIEMBRA ALTENO TEQUILA BLANCO 750ML,750ML,0,87.99,,
6,92377,TEQUILA FLAVORS,BLUE STAR BLANCO TEQUILA 750ML,750ML,0,34.99,,
7,337217,AMERICAN RED,BELLE GLOSS LAS ALTURAS P/NOIR - 750ML,750ML,0,54.99,,
8,246443,TEQUILA,TEQUILA RIMARI BLANCO 750ML,750ML,0,46.99,,
9,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,
10,92375,TEQUILA FLAVORS,BLUE STAR ANEJO TEQUILA 750ML,750ML,0,43.99,,
11,91436,TEQUILA,MILAGRO ANEJO TEQUILA 375ML,375ML,0,21.99,,
12,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,
13,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,
14,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,
15,90937,TEQUILA,MAESTRO DOBEL DIAMANTE TEQUILA BARREL F1 750ML,750ML,0,47.99,,
16,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,
17,574535,AMERICAN RED,JUSTIN RESERVE CAB SAUV - 750ML,750ML,0,62.99,,
18,246444,TEQUILA,TEQUILA RIMARI REPOSADO 750ML,750ML,0,56.99,,
19,246727,STRAIGHT BOURBON WHISKEY,FILIBUSTER CHARRED BARREL AGNI 750ML,750ML,0,72.99,,
20,166872,AMERICAN RED,BELLE GLOS PINOT NOIR DAIRYMAN VINEYARD 750ML,750ML,0,54.99,,
21,234798,AMERICAN RED,LA JOTA VYD HOWELL MTN CAB/FR - 750ML,750ML,0,193.99,,
22,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,
23,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,
24,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,
25,69456,IRISH WHISKEY,THE SEXTON IRISH WHISKEY 750ML,750ML,0,33.99,,
26,240820,CHILE,MIGUEL TORRES CORDILLERA DE LOS ANDES CARMN RESA ESP - 750ML,750ML,0,25.99,,
27,37265,STRAIGHT BOURBON WHISKEY,WOODFORD RESERVE 90.4P - 750ML,750ML,0,32.99,,
28,246729,STRAIGHT BOURBON WHISKEY,FILIBUSTER CHARRED BARREL PERSIAN GOLD 750ML,750ML,0,72.99,,
29,91440,TEQUILA,MILAGRO SILVER TEQUILA 375ML,375ML,0,14.99,,
30,43070,AMERICAN RED,FIRESTEED W/V P/NOIR - 750ML,750ML,0,24.99,,
31,312776,ITALIAN WHITE WINE,ZONIN P/GRIG - 750ML,750ML,0,8.99,,
32,20116,MEAD (WINE),CLEAR SKIES GUAVA MAMA 6/4 12OZ CANS - 12.0Z (4-Pack),4pk,0,16.99,,
33,54121,IRISH WHISKEY,McCONNELL'S IRISH WHISKEY- SHERRY CASK - 750ML,750ML,0,38.99,,
34,246728,STRAIGHT BOURBON WHISKEY,FILIBUSTER CHARRED BARREL KYOTO MIST 750ML,750ML,0,72.99,,
35,247291,SESSION RTD,BETTY BOOZE SPARK TEQUILA VARIETY PK 4/6PK - 355ML CN (6-Pack),6pk,0,19.99,,
36,70372,STRAIGHT BOURBON WHISKEY,RED STAG SPICED BOURBON - 750ML,750ML,0,19.99,,
37,42597,STORE SUPPLIES,WHISTLEPIG MAPLE SYRUP - 375ML,375ML,0,19.99,,
38,171748,LIQ BASED RTD,COPPER CAN VARIETY PACK #2 3/8PK 12OZ CAN - 12.0Z (8-Pack),8pk,0,27.99,,
39,76569,SINGLE MALT SCOTCH,ARDBEG BLAAK- COMMITTEE RELEASE - 750ML,750ML,0,156.99,,
40,351682,IMPORTED CORDIALS,NONINO AMARO QUINTESSENTIA - 750ML,750ML,0,56.99,,
41,297015,NEW ZEALAND,STARBOROUGH STARLITE S/BLC - 750ML,750ML,0,13.99,,
42,238705,DOMESTIC LIQUOR SPECIALTY,99 SCHNAPPS ADULT TRICK OR TREAT BAG 8/15PK - 50ML (15-Pack),50ML,0,16.35,9.99,46022
43,247768,WHITE BURGUNDY WINE,JOSEPH DROUHIN VAUDON CHABLIS - 750ML,750ML,0,39.99,,
44,380476,BLENDED WHISKEY,FUYU JAPANESE WHISKY 6 PK - 750ML,750ML,0,49.99,,
45,88818,LIQ BASED RTD,BUZZBALLZ BIGGIES WITCHES BREW - 1.75L,1.75L,0,16.99,,
46,92373,TEQUILA FLAVORS,BLUE STAR REPOSADO TEQUILA 750ML,750ML,0,38.99,,
47,73121,ITALIAN RED WINE,CENTINE TUSCANY RED - 750ML,750ML,0,15.99,,
48,22914,IMPORTED BOTTLE BEER,GUINNESS DRAFT BTL 2/12 11.2OZ - 11.2Z (12-Pack),12pk,0,20.6,,
