RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability
0,72281,STRAIGHT RYE WHISKEY,ROSSVILLE UNION STRAIGHT RYE WHISKEY BARREL PROOF - 750ML,750ML,0,49.99,,,46010,OutofStock
1,246443,TEQUILA,TEQUILA RIMARI BLANCO 750ML,750ML,0,46.99,,,46010,OutofStock
2,246354,AMERICAN WHITE,DECOY FEATHERWEIGHT CHARDONNAY 750ML,750ML,0,19.99,,,46010,OutofStock
3,38881,IMPORTED RUM FLAVORS,CAPTAIN MORGAN SPICED RUM - 1L,1L,180,25.99,,,46010,InStock
4,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,46010,OutofStock
5,171381,TEQUILA,SIEMBRA ALTENO TEQUILA BLANCO 750ML,750ML,0,87.99,,,46010,OutofStock
6,27081,IMPORTED SCOTCH,FAMOUS GROUSE SCOTCH 1.75L,1.75L,108,49.98,,,46010,InStock
7,246444,TEQUILA,TEQUILA RIMARI REPOSADO 750ML,750ML,0,56.99,,,46010,OutofStock
8,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46010,OutofStock
9,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46010,OutofStock
10,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,46010,OutofStock
11,91436,TEQUILA,MILAGRO ANEJO TEQUILA 375ML,375ML,0,21.99,,,46010,OutofStock
12,90937,TEQUILA,MAESTRO DOBEL DIAMANTE TEQUILA BARREL F1 750ML,750ML,0,47.99,,,46010,OutofStock
13,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,46010,OutofStock
14,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,,46010,OutofStock
15,69456,IRISH WHISKEY,THE SEXTON IRISH WHISKEY 750ML,750ML,0,33.99,,,46010,OutofStock
16,58279,SESSION RTD,JACK DANIELS & COKE ZERO - 4 PK -RTD - 355ML (4-Pack),4pk,3744,12.99,,,46010,InStock
17,574535,AMERICAN RED,JUSTIN RESERVE CAB SAUV - 750ML,750ML,0,62.99,,,46010,OutofStock
18,247291,SESSION RTD,BETTY BOOZE SPARK TEQUILA VARIETY PK 4/6PK - 355ML CN (6-Pack),6pk,0,19.99,,,46010,OutofStock
19,76569,SINGLE MALT SCOTCH,ARDBEG BLAAK- COMMITTEE RELEASE - 750ML,750ML,0,156.99,,,46010,OutofStock
20,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,,46010,OutofStock
21,234798,AMERICAN RED,LA JOTA VYD HOWELL MTN CAB/FR - 750ML,750ML,0,193.99,,,46010,OutofStock
22,20116,MEAD (WINE),CLEAR SKIES GUAVA MAMA 6/4 12OZ CANS - 12.0Z (4-Pack),4pk,0,16.99,,,46010,OutofStock
23,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,46010,OutofStock
24,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,,46010,OutofStock
25,54150,STRAIGHT BOURBON WHISKEY,YELLOWSTONE BOURBON - 4/3PK BTL GIFT PACK - 375ML (3-Pack),3pk,0,49.99,,,46010,OutofStock
26,289610,TEQUILA,LUNAZUL TEQUILA - BLANCO - 1L,1L,0,26.99,,,46010,OutofStock
27,246727,STRAIGHT BOURBON WHISKEY,FILIBUSTER CHARRED BARREL AGNI 750ML,750ML,0,72.99,,,46010,OutofStock
