RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability,PricingTier
0,72281,STRAIGHT RYE WHISKEY,ROSSVILLE UNION STRAIGHT RYE WHISKEY BARREL PROOF - 750ML,750ML,0,49.99,,,46018,OutofStock,Mid-Range ($20-$50)
1,246443,TEQUILA,TEQUILA RIMARI BLANCO 750ML,750ML,0,46.99,,,46018,OutofStock,Mid-Range ($20-$50)
2,246354,AMERICAN WHITE,DECOY FEATHERWEIGHT CHARDONNAY 750ML,750ML,0,19.99,,,46018,OutofStock,Budget (<$20)
3,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,46018,OutofStock,Mid-Range ($20-$50)
4,171381,TEQUILA,SIEMBRA ALTENO TEQUILA BLANCO 750ML,750ML,0,87.99,,,46018,OutofStock,Premium ($50-$100)
5,325773,AMERICAN RED,AUSPICION CAB - 750ML,750ML,240,13.99,,,46018,InStock,Budget (<$20)
6,246444,TEQUILA,TEQUILA RIMARI REPOSADO 750ML,750ML,0,56.99,,,46018,OutofStock,Premium ($50-$100)
7,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46018,OutofStock,Budget (<$20)
8,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46018,OutofStock,Budget (<$20)
9,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,46018,OutofStock,Budget (<$20)
10,91436,TEQUILA,MILAGRO ANEJO TEQUILA 375ML,375ML,0,21.99,,,46018,OutofStock,Mid-Range ($20-$50)
11,90937,TEQUILA,MAESTRO DOBEL DIAMANTE TEQUILA BARREL F1 750ML,750ML,0,47.99,,,46018,OutofStock,Mid-Range ($20-$50)
12,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,46018,OutofStock,Budget (<$20)
13,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,,46018,OutofStock,Mid-Range ($20-$50)
14,69456,IRISH WHISKEY,THE SEXTON IRISH WHISKEY 750ML,750ML,0,33.99,,,46018,OutofStock,Mid-Range ($20-$50)
15,81637,AMERICAN BLUSH,ELOUAN ROSE 750ML,750ML,336,18.99,,,46018,InStock,Budget (<$20)
16,31828,IMPORTED CORDIALS,JAGERMEISTER LIQUEUR - 1.75L,1.75L,348,43.99,,,46018,InStock,Mid-Range ($20-$50)
17,247291,SESSION RTD,BETTY BOOZE SPARK TEQUILA VARIETY PK 4/6PK - 355ML CN (6-Pack),6pk,0,19.99,,,46018,OutofStock,Budget (<$20)
18,76569,SINGLE MALT SCOTCH,ARDBEG BLAAK- COMMITTEE RELEASE - 750ML,750ML,0,156.99,,,46018,OutofStock,Super-Premium ($100-$500)
19,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,,46018,OutofStock,Budget (<$20)
20,20116,MEAD (WINE),CLEAR SKIES GUAVA MAMA 6/4 12OZ CANS - 12.0Z (4-Pack),4pk,0,16.99,,,46018,OutofStock,Budget (<$20)
21,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,46018,OutofStock,Budget (<$20)
22,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,,46018,OutofStock,Budget (<$20)
23,54150,STRAIGHT BOURBON WHISKEY,YELLOWSTONE BOURBON - 4/3PK BTL GIFT PACK - 375ML (3-Pack),3pk,0,49.99,,,46018,OutofStock,Mid-Range ($20-$50)
24,289610,TEQUILA,LUNAZUL TEQUILA - BLANCO - 1L,1L,0,26.99,,,46018,OutofStock,Mid-Range ($20-$50)
25,246727,STRAIGHT BOURBON WHISKEY,FILIBUSTER CHARRED BARREL AGNI 750ML,750ML,0,72.99,,,46018,OutofStock,Premium ($50-$100)
26,166872,AMERICAN RED,BELLE GLOS PINOT NOIR DAIRYMAN VINEYARD 750ML,750ML,0,54.99,,,46018,OutofStock,Premium ($50-$100)
27,180081,TEQUILA,TRES AGAVE REPOSADO BARREL 237- 750ML,750ML,0,39.99,,,46018,OutofStock,Mid-Range ($20-$50)
28,91440,TEQUILA,MILAGRO SILVER TEQUILA 375ML,375ML,0,14.99,,,46018,OutofStock,Budget (<$20)
29,37265,STRAIGHT BOURBON WHISKEY,WOODFORD RESERVE 90.4P - 750ML,750ML,0,32.99,,,46018,OutofStock,Mid-Range ($20-$50)
30,312776,ITALIAN WHITE WINE,ZONIN P/GRIG - 750ML,750ML,0,8.99,,,46018,OutofStock,Budget (<$20)
31,240820,CHILE,MIGUEL TORRES CORDILLERA DE LOS ANDES CARMN RESA ESP - 750ML,750ML,0,25.99,,,46018,OutofStock,Mid-Range ($20-$50)
32,54121,IRISH WHISKEY,McCONNELL'S IRISH WHISKEY- SHERRY CASK - 750ML,750ML,0,38.99,,,46018,OutofStock,Mid-Range ($20-$50)
33,246729,STRAIGHT BOURBON WHISKEY,FILIBUSTER CHARRED BARREL PERSIAN GOLD 750ML,750ML,0,72.99,,,46018,OutofStock,Premium ($50-$100)
34,43070,AMERICAN RED,FIRESTEED W/V P/NOIR - 750ML,750ML,0,24.99,,,46018,OutofStock,Mid-Range ($20-$50)
35,42597,STORE SUPPLIES,WHISTLEPIG MAPLE SYRUP - 375ML,375ML,0,19.99,,,46018,OutofStock,Budget (<$20)
36,171748,LIQ BASED RTD,COPPER CAN VARIETY PACK #2 3/8PK 12OZ CAN - 12.0Z (8-Pack),8pk,0,27.99,,,46018,OutofStock,Mid-Range ($20-$50)
37,73121,ITALIAN RED WINE,CENTINE TUSCANY RED - 750ML,750ML,0,15.99,,,46018,OutofStock,Budget (<$20)
38,351682,IMPORTED CORDIALS,NONINO AMARO QUINTESSENTIA - 750ML,750ML,0,56.99,,,46018,OutofStock,Premium ($50-$100)
39,168240,AMERICAN RED,TEXTBOOK PASO ROBLES CABERNET SAUVIGNON 750ML,750ML,48,28.99,,,46018,InStock,Mid-Range ($20-$50)
